"Nombre de parties jouées : ","5000"

"Player","Win number","Win percentage","Defeat number","Defeat percentage","Total Score","Average score"
"ÉCONOME_1","1034","20.68","3966","79.32","109413","21.883"
"ÉCONOME_2","983","19.66","4017","80.34","108700","21.74"
"ÉCONOME_3","997","19.94","4003","80.06","108438","21.688"
"ÉCONOME_4","968","19.36","4032","80.64","108987","21.797"
"ÉCONOME_5","1018","20.36","3982","79.64","108500","21.7"

"Nombre de parties jouées : ","6000"

"Player","Win number","Win percentage","Defeat number","Defeat percentage","Total Score","Average score"
"DÉPENSIER_1","464","7.733","5536","92.267","83291","13.882"
"DÉPENSIER_2","464","7.733","5536","92.267","84183","14.03"
"DÉPENSIER_3","484","8.067","5516","91.933","84199","14.033"
"ÉCONOME_1","2292","38.2","3708","61.8","128706","21.451"
"ÉCONOME_2","2296","38.267","3704","61.733","129417","21.57"
